Feature,Chi2_Score,F_Score,RF_Importance,Abs_Correlation,Chi2_Score_Normalized,F_Score_Normalized,RF_Importance_Normalized,Abs_Correlation_Normalized,Average_Score
PAIa22-R1,3393.956209386027,1277.8471543154071,0.0030486458451977035,0.0025546935521434944,2.529536872706701e-06,0.11932489424293366,0.023104996992043818,0.012502750609497225,0.03873379284533685
PAIa16-R2,6572.729822547944,1191.5975766363197,0.0025418018974263782,0.004403088973245779,4.898771403133403e-06,0.11127000610669552,0.01764219424283025,0.022424506965719203,0.03783540152166203
PAIa14-R4,1451609.5858483592,45.68846803414891,0.00981782920922309,0.009059108623853371,0.0010819277246006257,0.004253021995423306,0.09606377188425674,0.04741693663510322,0.03720391455984597
PAIa14-2,748684.0998458471,31.469992032096275,0.010260283909278094,0.008486264718257697,0.000558016450498423,0.00292515191482476,0.10083258240767537,0.044342043894848804,0.037164448666961836
CI1a1-2,457744.4155922612,20.327947294321337,0.011483828201166219,0.005820429477785279,0.0003411704494649022,0.0018845911794937785,0.11402003616124502,0.03003246086957572,0.036569564664944855
CI1a1-1,464932.7597897008,20.453185473363995,0.011405694247532659,0.00583669473107669,0.0003465281362214076,0.001896287231227831,0.11317790244613768,0.03011976896306439,0.036385121694162824
PAIa14-R2,745796.8060343444,31.46842287051865,0.009897147544244624,0.008504727906863211,0.0005558644645345986,0.0029250053700958984,0.09691867095235052,0.04444114999347442,0.03621017269511386
PAIa22-1,3375.998549891933,1272.225649160245,0.0020383678982141126,0.00239473564729881,2.5161524949130494e-06,0.1187998992644006,0.012216144179418725,0.01164413381083936,0.0356656733517884
PDIa1-3,71148006.65995742,68.90967619845806,0.00522635917168455,0.006762700660655834,0.05302872566912561,0.006421661415870712,0.04657655741856533,0.03509035324000558,0.03527932443589181
CI3a32-1,526607.3428487723,5.558324838651053,0.010034902498539444,0.007227325062182207,0.000392496037561785,0.0005052492754957902,0.0984034043626014,0.037584348873445875,0.03422137463727621
